name,country,lead_or_host,base_system_or_infrastructure,notes,source_url,source_title,date_checked,status,confidence
LUMI AI Factory,Finland,CSC,LUMI and AI Factory service infrastructure,"EuroHPC describes LUMI AI Factory as an open AI ecosystem for startups, SMEs, researchers, and public/private users.",https://www.eurohpc-ju.europa.eu/ai-factories/ai-factories-systems_en,AI Factories Systems,2026-06-17,confirmed_public,high
IT4LIA,Italy,CINECA,"Leonardo, LISA, GAIA, MEGARIDE, new IT4LIA system","Italian AI Factory with advanced infrastructure and services; coordinated by CINECA.",https://www.eurohpc-ju.europa.eu/ai-factories/italy_en,Italy - AI Factories,2026-06-17,confirmed_public,high
J-AIF,Germany,Juelich Supercomputing Centre,JUPITER,"Named in EuroHPC AI Factories helpdesk topic list.",https://www.eurohpc-ju.europa.eu/ai-factories/helpdesk-ai-factories_en,Helpdesk - AI Factories,2026-06-17,confirmed_public,medium
HammerHAI,Germany,unknown,unknown,"Named in EuroHPC AI Factories helpdesk topic list.",https://www.eurohpc-ju.europa.eu/ai-factories/helpdesk-ai-factories_en,Helpdesk - AI Factories,2026-06-17,confirmed_public,medium
L-AIF,Luxembourg,LuxProvide,MeluXina,"Named in EuroHPC AI Factories helpdesk topic list.",https://www.eurohpc-ju.europa.eu/ai-factories/helpdesk-ai-factories_en,Helpdesk - AI Factories,2026-06-17,confirmed_public,medium
Pharos,Greece,GRNET,Daedalus,"Named in EuroHPC AI Factories helpdesk topic list.",https://www.eurohpc-ju.europa.eu/ai-factories/helpdesk-ai-factories_en,Helpdesk - AI Factories,2026-06-17,confirmed_public,medium
MIMER,Sweden,unknown,Arrhenius,"Named in EuroHPC AI Factories helpdesk topic list.",https://www.eurohpc-ju.europa.eu/ai-factories/helpdesk-ai-factories_en,Helpdesk - AI Factories,2026-06-17,confirmed_public,medium
BSC AI Factory,Spain,Barcelona Supercomputing Center,MareNostrum 5,"Named in EuroHPC AI Factories helpdesk topic list.",https://www.eurohpc-ju.europa.eu/ai-factories/helpdesk-ai-factories_en,Helpdesk - AI Factories,2026-06-17,confirmed_public,medium
BRAIN++,Bulgaria,unknown,unknown,"Named in EuroHPC AI Factories helpdesk topic list.",https://www.eurohpc-ju.europa.eu/ai-factories/helpdesk-ai-factories_en,Helpdesk - AI Factories,2026-06-17,confirmed_public,medium
SLAIF,Slovenia,unknown,unknown,"Named in EuroHPC AI Factories helpdesk topic list.",https://www.eurohpc-ju.europa.eu/ai-factories/helpdesk-ai-factories_en,Helpdesk - AI Factories,2026-06-17,confirmed_public,medium
PIAST,Poland,unknown,unknown,"Named in EuroHPC AI Factories helpdesk topic list.",https://www.eurohpc-ju.europa.eu/ai-factories/helpdesk-ai-factories_en,Helpdesk - AI Factories,2026-06-17,confirmed_public,medium
AI:AT,Austria,unknown,unknown,"Named in EuroHPC AI Factories helpdesk topic list.",https://www.eurohpc-ju.europa.eu/ai-factories/helpdesk-ai-factories_en,Helpdesk - AI Factories,2026-06-17,confirmed_public,medium
AI2F,France,unknown,unknown,"Named in EuroHPC AI Factories helpdesk topic list.",https://www.eurohpc-ju.europa.eu/ai-factories/helpdesk-ai-factories_en,Helpdesk - AI Factories,2026-06-17,confirmed_public,medium
CZAI,Czechia,unknown,unknown,"EuroHPC AI Factories overview lists CZAI as the Czech AI Factory.",https://www.eurohpc-ju.europa.eu/ai-factories_en,AI Factories,2026-06-17,confirmed_public,high
LitAI,Lithuania,unknown,unknown,"EuroHPC AI Factories overview lists LitAI Factory.",https://www.eurohpc-ju.europa.eu/ai-factories_en,AI Factories,2026-06-17,confirmed_public,high
NLAIF,Netherlands,unknown,unknown,"EuroHPC AI Factories overview lists NLAIF.",https://www.eurohpc-ju.europa.eu/ai-factories_en,AI Factories,2026-06-17,confirmed_public,high
1HealthAI,Spain,unknown,unknown,"EuroHPC AI Factories overview lists Spanish 1HealthAI.",https://www.eurohpc-ju.europa.eu/ai-factories_en,AI Factories,2026-06-17,confirmed_public,high
Gaia AI Factory,Poland,unknown,unknown,"EuroHPC AI Factories overview lists Poland - Gaia AI Factory.",https://www.eurohpc-ju.europa.eu/ai-factories_en,AI Factories,2026-06-17,confirmed_public,high
RO AI Factory,Romania,unknown,unknown,"EuroHPC AI Factories overview lists RO AI Factory.",https://www.eurohpc-ju.europa.eu/ai-factories_en,AI Factories,2026-06-17,confirmed_public,high
